simulationConditionId	measurement	time	observableId	observableParameters	noiseParameters	datasetId	replicateId
condition1	2.0293338238146075	0.0	obs_y1		noiseParameter1	dataset1	0
condition1	2.0018597405660596	0.005	obs_y1		noiseParameter1	dataset1	0
condition1	2.0583500626212134	0.01	obs_y1		noiseParameter1	dataset1	0
condition1	2.120169790411909	0.015	obs_y1		noiseParameter1	dataset1	0
condition1	2.026574578340457	0.02	obs_y1		noiseParameter1	dataset1	0
condition1	2.036803108901275	0.025	obs_y1		noiseParameter1	dataset1	0
condition1	2.154170655536823	0.03	obs_y1		noiseParameter1	dataset1	0
condition1	2.11656084645619	0.035	obs_y1		noiseParameter1	dataset1	0
condition1	2.0538963893082105	0.04	obs_y1		noiseParameter1	dataset1	0
condition1	2.1240970068355147	0.045	obs_y1		noiseParameter1	dataset1	0
condition1	2.0751747161954643	0.05	obs_y1		noiseParameter1	dataset1	0
condition1	2.0855772123275975	0.055	obs_y1		noiseParameter1	dataset1	0
condition1	2.137962355069256	0.06	obs_y1		noiseParameter1	dataset1	0
condition1	2.021327860655275	0.065	obs_y1		noiseParameter1	dataset1	0
condition1	2.0431500567700707	0.07	obs_y1		noiseParameter1	dataset1	0
condition1	2.1225619934830835	0.075	obs_y1		noiseParameter1	dataset1	0
condition1	2.1067606401337757	0.08	obs_y1		noiseParameter1	dataset1	0
condition1	2.1959922434419785	0.085	obs_y1		noiseParameter1	dataset1	0
condition1	2.1347245301945494	0.09	obs_y1		noiseParameter1	dataset1	0
condition1	2.115913064596223	0.095	obs_y1		noiseParameter1	dataset1	0
condition1	2.296896814551487	0.1	obs_y1		noiseParameter1	dataset1	0
condition1	2.2080878333773364	0.105	obs_y1		noiseParameter1	dataset1	0
condition1	2.2365440693284038	0.11	obs_y1		noiseParameter1	dataset1	0
condition1	2.1596073111773597	0.115	obs_y1		noiseParameter1	dataset1	0
condition1	2.222844776441363	0.12	obs_y1		noiseParameter1	dataset1	0
condition1	2.272847522233825	0.125	obs_y1		noiseParameter1	dataset1	0
condition1	2.2096839847528535	0.13	obs_y1		noiseParameter1	dataset1	0
condition1	2.311260694709322	0.135	obs_y1		noiseParameter1	dataset1	0
condition1	2.26507643311248	0.14	obs_y1		noiseParameter1	dataset1	0
condition1	2.2948529491998313	0.145	obs_y1		noiseParameter1	dataset1	0
condition1	2.2881342539095293	0.15	obs_y1		noiseParameter1	dataset1	0
condition1	2.444703588369229	0.155	obs_y1		noiseParameter1	dataset1	0
condition1	2.346224653389288	0.16	obs_y1		noiseParameter1	dataset1	0
condition1	2.296322331730412	0.165	obs_y1		noiseParameter1	dataset1	0
condition1	2.419185704376039	0.17	obs_y1		noiseParameter1	dataset1	0
condition1	2.310394603338953	0.17500000000000002	obs_y1		noiseParameter1	dataset1	0
condition1	2.40676932127788	0.18	obs_y1		noiseParameter1	dataset1	0
condition1	2.2907071033366284	0.185	obs_y1		noiseParameter1	dataset1	0
condition1	2.3400621802087933	0.19	obs_y1		noiseParameter1	dataset1	0
condition1	2.4422477597676395	0.195	obs_y1		noiseParameter1	dataset1	0
condition1	2.486416209609657	0.2	obs_y1		noiseParameter1	dataset1	0
condition1	2.465170411312582	0.20500000000000002	obs_y1		noiseParameter1	dataset1	0
